Player,Pos,Age,Tm,TRB,AST,PTS
JD Davison,SG,21,BOS,1.0,0.0,0.0
Dexter Dennis,SG,24,DAL,2.3,1.0,5.5
DeMar DeRozan,SF,34,CHI,3.8,5.4,22.4
Moussa Diabaté,C,22,LAC,2.0,0.4,2.7
Gradey Dick,SG,20,TOR,1.2,0.8,3.5
Ousmane Dieng,PF,20,OKC,1.6,0.9,4.3
Spencer Dinwiddie,PG,30,BRK,4.1,6.5,14.3
Donte DiVincenzo,SG,27,NYK,2.9,1.8,10.6
Luka Dončić,PG,24,DAL,8.3,9.4,33.4
Luguentz Dort,SF,24,OKC,3.9,1.3,11.1
Ayo Dosunmu,SG,24,CHI,2.4,1.9,7.8
Andre Drummond,C,30,CHI,8.1,0.6,7.0
Chris Duarte,SF,26,SAC,1.9,0.8,3.8
Kris Dunn,PG,29,UTA,2.7,3.8,5.3
Kevin Durant,PF,35,PHO,6.3,6.0,29.9
Jalen Duren,C,20,DET,11.8,2.4,12.9
Tari Eason,PF,22,HOU,7.0,1.2,9.8
Anthony Edwards,SG,22,MIN,5.3,5.1,26.3
Kessler Edwards,SF,23,SAC,0.7,0.2,1.4
Keon Ellis,SG,24,SAC,1.4,1.4,3.9
Joel Embiid,C,29,PHI,11.7,6.0,35.0
Drew Eubanks,C,26,PHO,4.3,1.1,6.0
Dante Exum,PG,28,DAL,2.9,2.9,9.3
Bruno Fernando,C,25,ATL,1.9,0.4,2.5
Dorian Finney-Smith,PF,30,BRK,5.1,1.2,10.2
Malachi Flynn,PG,25,TOR,2.1,2.4,5.1
Simone Fontecchio,SF,28,UTA,3.0,1.1,9.1
Jordan Ford,PG,25,SAC,0.3,0.3,2.0
Trent Forrest,SG,25,ATL,1.0,1.5,1.3
Evan Fournier,SG,31,NYK,1.5,1.5,6.0
De'Aaron Fox,PG,26,SAC,4.6,6.1,30.0
Alex Fudge,SF,20,LAL,0.5,0.0,1.0
Markelle Fultz,PG,25,ORL,3.4,4.0,11.4
Daniel Gafford,C,25,WAS,7.7,1.6,10.8
Danilo Gallinari,PF,35,WAS,2.9,1.2,7.0
Darius Garland,PG,24,CLE,2.8,5.9,20.7
Usman Garuba,PF,21,GSW,0.0,0.5,0.0
Luka Garza,C,25,MIN,1.2,0.3,2.2
Kaiser Gates,SF,27,NOP,1.0,0.0,0.0
Keyonte George,PG,20,UTA,3.0,4.8,11.1
Paul George,PF,33,LAC,5.5,4.0,22.9
Taj Gibson,PF,38,NYK,1.8,0.5,1.4
Josh Giddey,SG,21,OKC,6.0,4.4,11.8
Harry Giles,C,25,BRK,1.6,0.1,3.9
Shai Gilgeous-Alexander,PG,25,OKC,5.7,6.3,31.2
Anthony Gill,PF,31,WAS,1.5,0.5,2.5
Collin Gillespie,PG,24,DEN,0.4,0.7,1.8
Jacob Gilyard,PG,25,MEM,1.0,3.0,3.8
Rudy Gobert,C,31,MIN,12.1,1.2,12.8
Jordan Goodwin,PG,25,PHO,3.7,2.4,5.7
Aaron Gordon,PF,28,DEN,6.7,3.3,13.4
Eric Gordon,SG,35,PHO,2.0,2.5,13.5
Devonte' Graham,PG,28,SAS,1.4,2.4,3.4
Jerami Grant,PF,29,POR,3.9,2.6,22.1
A.J. Green,SG,24,MIL,0.8,0.6,3.0
Danny Green,SG,36,PHI,1.0,0.5,0.0
Draymond Green,PF,33,GSW,5.5,5.8,9.7
Jalen Green,SG,21,HOU,4.5,3.1,17.5
Jeff Green,PF,37,HOU,2.1,0.7,6.4
Josh Green,SG,23,DAL,2.6,2.5,6.6
AJ Griffin,SF,20,ATL,1.0,0.3,2.5
Quentin Grimes,SG,23,NYK,1.5,1.1,6.2
Mouhamed Gueye,PF,21,ATL,0.0,0.0,0.0
Rui Hachimura,PF,25,LAL,3.6,1.1,11.6
Tyrese Haliburton,PG,23,IND,4.2,12.7,24.7
R.J. Hampton,PG,22,MIA,1.0,1.2,1.7
Tim Hardaway Jr.,SF,31,DAL,3.7,1.7,17.5
James Harden,PG,34,LAC,4.8,8.0,17.6
Jaden Hardy,SG,21,DAL,1.9,1.4,7.6
Ron Harper Jr.,PF,23,TOR,0.0,1.0,0.0
Gary Harris,SG,29,ORL,1.7,1.9,7.2
Joe Harris,SG,32,DET,0.9,0.8,2.3
Tobias Harris,PF,31,PHI,6.1,3.1,17.2
Shaquille Harrison,SG,30,MEM,0.7,0.0,0.7
Josh Hart,SF,28,NYK,6.1,2.8,7.5
Isaiah Hartenstein,C,25,NYK,6.9,1.7,6.2
Sam Hauser,SF,26,BOS,3.6,1.0,8.6
Jordan Hawkins,SG,21,NOP,3.1,1.5,10.4
