Player,Pos,Age,Tm,TRB,AST,PTS
P.J. Tucker,PF,38,TOT,2.9,0.5,1.3
P.J. Tucker,PF,38,PHI,4.7,0.0,2.0
P.J. Tucker,PF,38,LAC,2.4,0.7,1.2
Myles Turner,C,27,IND,7.4,1.1,17.6
Hunter Tyson,PF,23,DEN,0.6,0.1,0.3
Stanley Umude,SG,24,DET,1.9,0.5,5.0
Jonas Valančiūnas,C,31,NOP,9.7,2.4,14.4
Jarred Vanderbilt,PF,24,LAL,4.1,0.8,2.6
Fred VanVleet,PG,29,HOU,3.9,8.5,17.4
Devin Vassell,SG,23,SAS,3.4,3.0,18.3
Sasha Vezenkov,PF,28,SAC,2.6,0.5,5.2
Gabe Vincent,PG,27,LAL,1.0,3.0,5.4
Nikola Vučević,C,33,CHI,10.4,3.4,16.7
Dean Wade,PF,27,CLE,4.8,0.8,5.5
Franz Wagner,SF,22,ORL,6.0,4.0,21.2
Moritz Wagner,C,26,ORL,4.4,1.2,11.2
Ish Wainright,SF,29,POR,0.7,0.0,1.8
Jabari Walker,SF,21,POR,5.5,0.7,8.2
Jarace Walker,PF,20,IND,1.3,1.2,3.3
Lonnie Walker IV,SG,25,BRK,2.6,1.6,14.6
Cason Wallace,SG,20,OKC,2.2,1.5,6.7
P.J. Washington,PF,25,CHO,5.4,2.3,13.3
TyTy Washington Jr.,PG,22,MIL,0.5,0.0,1.5
Yuta Watanabe,SF,29,PHO,1.9,0.5,4.2
Lindy Waters III,SG,26,OKC,0.6,0.5,2.9
Trendon Watford,PF,23,BRK,3.2,1.8,6.4
Peyton Watson,SF,21,DEN,2.6,1.1,6.6
Victor Wembanyama,PF,20,SAS,10.3,3.0,18.9
Blake Wesley,SG,20,SAS,0.6,1.9,1.7
Russell Westbrook,PG,35,LAC,6.5,4.7,11.4
Coby White,PG,23,CHI,4.3,4.8,17.7
Derrick White,SG,29,BOS,3.9,5.3,17.0
Cam Whitmore,SF,19,HOU,2.1,0.3,6.9
Aaron Wiggins,SG,25,OKC,2.4,0.7,4.8
Andrew Wiggins,SF,28,GSW,4.4,1.4,12.7
Lindell Wigginton,PG,25,MIL,0.0,0.0,2.0
Brandon Williams,PG,24,DAL,1.0,1.0,4.0
Grant Williams,PF,25,DAL,3.8,1.6,8.8
Jalen Williams,PF,22,OKC,3.9,4.0,18.0
Jaylin Williams,C,21,OKC,3.3,1.4,3.6
Jeenathan Williams,SG,24,HOU,0.0,0.5,3.3
Kenrich Williams,PF,29,OKC,2.7,1.7,5.0
Mark Williams,C,22,CHO,9.7,1.2,12.7
Patrick Williams,PF,22,CHI,4.1,1.5,10.4
Robert Williams,C,26,POR,6.3,0.8,6.8
Vince Williams Jr.,SG,23,MEM,5.0,1.6,5.3
Ziaire Williams,SF,22,MEM,3.6,1.4,7.3
Zion Williamson,PF,23,NOP,6.1,4.6,22.4
Jalen Wilson,PF,23,BRK,2.2,0.8,4.6
Dylan Windler,SF,27,NYK,0.3,0.3,1.0
James Wiseman,C,22,DET,4.1,0.6,6.4
Christian Wood,PF,28,LAL,5.4,1.0,6.8
Delon Wright,PG,31,WAS,2.5,3.6,4.9
Thaddeus Young,PF,35,TOR,1.0,1.0,1.9
Trae Young,PG,25,ATL,3.0,11.3,28.3
Omer Yurtseven,C,25,UTA,4.4,0.7,4.0
Cody Zeller,C,31,NOP,3.0,1.1,1.8
Ivica Zubac,C,26,LAC,9.7,1.2,12.2
